"Data provided by SimFin","","","","","","","","","","",""
"","","","","","","","","","","",""
"Profit & Loss statement","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Total Noncurrent Liabilities","1,614","5,516","7,746","7,703","8,548","7,820","11,705","20,610","20,544","29,246"
"","Total Liabilities","11,610","14,429","22,083","23,611","25,327","27,130","28,461","44,793","55,164","74,467"
"","Preferred Equity","0","0","0","0","0","0","0","0","0","0"
"","Share Capital & Additional Paid-In Capital","18,235","20,264","22,835","25,922","28,767","32,982","36,307","40,247","45,049","50,552"
"","Retained Earnings","27,868","37,605","48,342","61,262","75,066","89,223","105,131","113,247","134,885","152,122"
"","Other Equity","138","276","538","125","27","-1,874","-2,402","-992","-2,306","-1,232"
"","Equity Before Minority Interest","46,241","58,145","71,715","87,309","103,860","120,331","139,036","152,502","177,628","201,442"
"","Total Equity","46,241","58,145","71,715","87,309","103,860","120,331","139,036","152,502","177,628","201,442"
"","Total Liabilities & Equity","57,851","72,574","93,798","110,920","129,187","147,461","167,497","197,295","232,792","275,909"
"","","","","","","","","","","",""
"Cash Flow statement","","","","","","","","","","",""
"","in million USD","FY '10","FY '11","FY '12","FY '13","FY '14","FY '15","FY '16","FY '17","FY '18","FY '19"
"","Net Income/Starting Line","8,505","9,737","10,737","12,733","14,136","16,348","19,478","12,662","30,736","34,343"
"","Depreciation & Amortization","1,067","1,396","1,988","2,781","3,523","4,132","5,267","6,103","8,164","10,856"
"","Non-Cash Items","1,608","2,802","2,996","2,989","4,693","6,501","7,991","9,080","4,163","8,502"
"","Change in Working Capital","-99","630","898","156","672","-409","3,300","9,246","4,908","819"
"","Cash from Operating Activities","11,081","14,565","16,619","18,659","23,024","26,572","36,036","37,091","47,971","54,520"
"","Change in Fixed Assets & Intangibles","-4,018","-3,438","-3,273","-7,358","-10,959","-9,915","-9,972","-13,085","-25,041","-23,548"
"","Net Change in Long Term Investment","-7,206","-13,354","1,074","-7,699","-6,435","-13,789","-18,723","-19,981","-3,724","-4,422"
"","Net Cash From Acquisitions & Divestitures","-1,067","-1,900","-10,568","1,077","-4,502","-236","-986","-287","-1,491","-2,515"
"","Other Investing Activities","1,611","-349","-289","301","841","229","-1,484","533","1,752","994"
"","Cash from Investing Activities","-10,680","-19,041","-13,056","-13,679","-21,055","-23,711","-31,165","-32,820","-28,504","-29,491"
"","Cash From (Repayment of) Debt","3,463","726","1,328","-557","-18","-23","-1,335","-86","-61","-268"
"","Cash From (Repurchase of) Equity","","","","0","0","-1,780","-3,693","-4,846","-9,075","-18,396"
"","Other Financing Activities","-413","81","-99","-300","-2,069","-2,422","-3,304","-1,947","-4,043","-4,545"
"","Cash from Financing Activities","3,050","807","1,229","-857","-2,087","-4,225","-8,332","-6,879","-13,179","-23,209"
"","Net Cash Before FX","3,451","-3,669","4,792","4,123","-118","-1,364","-3,461","-2,608","6,288","1,820"
"","Effect of Foreign Exchange Rates","-19","22","3","-3","-433","-434","-170","405","-302","-23"
"","Net Changes in Cash","3,432","-3,647","4,795","4,120","-551","-1,798","-3,631","-2,203","5,986","1,797"
